name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4
Beast	0	armo	weap	misc								
Eagle	0	armo	weap	misc								
Raven	0	armo	weap	misc								
Viper	0	armo	weap	misc								
GhoulRI	0	armo	weap	misc								
Skull	0	armo	weap	misc								
Blood	0	armo	weap	misc								
Dread	0	armo	weap	misc								
Doom	0	armo	weap	misc								
Grim	0	armo	weap	misc								
Bone	0	armo	weap	misc								
Death	0	armo	weap	misc								
Shadow	0	armo	weap	misc								
Storm	0	armo	weap	misc								
Rune	0	armo	weap	misc								
PlagueRI	0	armo	weap	misc								
Stone	0	armo	weap	misc								
Wraithra	0	armo	weap	misc								
Spirit	0	armo	rod									
Storm	0	armo	weap	misl								
Demon	0	armo	weap	misl								
Cruel	0	armo	weap	misl								
Empyrion	0	rod										
Bramble	0	armo	weap	misl								
Pain	0	armo	weap	misl								
Loath	0	armo	weap	misl								
Glyph	0	armo	weap	misl								
Imp	0	armo	weap	misl								
Fiendra	0	armo	weap	misl								
Hailstone	0	armo	weap	misl								
Gale	0	armo	weap	misl								
Dire	0	armo	weap	misl								
Soul	0	armo	weap	misl								
Brimstone	0	armo	weap	misl								
Corpse	0	armo	weap	misl								
Carrion	0	armo	weap	misl								
Holocaust	0	tors	helm	shld	swor	axe						
Havoc	0	armo	weap	misc								
Bitter	0	armo	weap	misc								
Entropy	0	ring	amul									
Chaos	0	ring	amul									
Order	0	ring	amul	scep								
Rule	0	rod										
Warp	0											
Rift	0											
Corruption	0	ring	amul									
